designator,quantity,value,pack,mpn,mount_type
"C1, C2, C3",3,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C4,1,68uF,CP_Radial_D5.0mm_P2.50mm,,tht
C5,1,120uF,CP_Radial_D8.0mm_P5.00mm,,tht
D1,1,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,,tht
IC1,1,LM2597MX-ADJ_NOPB,SOIC127P600X175-8N,,smt
J1,1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,tht
L1,1,150mH,L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC,,tht
R1,1,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R2,1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
RV1,1,200k,Potentiometer_Bourns_3296W_Vertical,,tht
